duration,joint_1,joint_2,joint_3
3.0     , 2.4                                   , 22.8         ,  62.4

-1      , 손목 돌리기~
1.00    , -3.3360                               , -2.1113      ,  40.0980
1.00    , -2.1938                               , -9.9999      ,  37.5122

1.00    , -2.1938                               , -9.9999      ,  37.5122
1.00    , -2.1938                               , -9.9999      ,  37.5122
1.00    , -2.1938                               , -9.9999      ,  37.5122
1.00    , -2.1938                               , -9.9999      ,  37.5122
1.00    , 0.0                                   , 0.0          ,   0.0
-1      , 손목 돌리기 끝 ~


-1      , 손 자랑~
0.5     , -4.0868        , 12.3341      ,  43.5125
0.5     , -4.0868        , 12.3341      , 33.5125

0.5     , -4.0868        , 12.3341      , 33.2826
0.5     , -12.1423       , 40.7369      , 38.7832
0.5     , -4.9765        , 11.0473      , 35.9758
0.5     , -4.9765        , 11.0473      , 35.7057

0.5     , -4.0868        , 12.3341      , 33.5125


0.3     , -4.0868        , 12.3341      , 33.2826

0.12    , -12.1423       , 40.7369      , 38.7832
0.12    , -4.9765        , 11.0473      , 35.9758
0.12    , -4.9765        , 11.0473      , 35.7057
0.12    , -4.9765        , 11.0473      , 35.9758
0.12    , -12.1423       , 40.7369      , 38.7832
0.12    , -4.0868        , 12.3341      , 33.2826

0.12    , -12.1423       , 40.7369      , 38.7832
0.12    , -4.9765        , 11.0473      , 35.9758
0.12    , -4.9765        , 11.0473      , 35.7057
0.12    , -4.9765        , 11.0473      , 35.9758
0.12    , -12.1423       , 40.7369      , 38.7832
0.12    , -4.0868        , 12.3341      , 33.2826

-1      , 손 모으는 시간
1.0     , -4.0868        , 12.3341      , 33.5125

0.12    , -4.0868        , 12.3341      , 33.2826
0.12    , -12.1423       , 50.7369      , 23.7832
0.12    , -4.9765        , 11.0473      , 35.9758
0.12    , -4.9765        , 11.0473      , 35.7057
0.12    , -4.9765        , 11.0473      , 35.9758
0.12    , -12.1423       , 50.7369      , 23.7832
0.12    , -4.0868        , 12.3341      , 33.2826

-1      , L hand 기다림
0.2     , -4.0868        , 12.3341      , 33.5125
0.64    , -4.0868        , 12.3341      , 33.5125
-1      , kapandji 끝


-1      , 다시 손 벌리고 , abad 보여주기
1.00    , -5.0747        , 0.0          ,  0.0

-1      , 시작
0.2     , -5.0747        , 0.0          ,  0.0
0.4     , 30.00          , 0.0          ,  0.0
0.2     , 30.00          , 0.0          ,  0.0
0.2     , 30.00          , 0.0          ,  0.0

0.2     , 30.00          , 0.0          ,  0.0
0.2     , 30.00          , 0.0          ,  0.0
0.4     , -30.00         , 0.0          ,  0.0
0.2     , -30.00         , 0.0          ,  0.0
0.2     , -30.00         , 0.0          ,  0.0
-1      , 손 자랑 끝 -> ~




-1      , 손 깍지 끼고 스트레칭~
-1     , -13.9280                              , -8.4907      ,   1.4631
0.5     , 0.0                              , -8.4907      ,   1.4631
0.5     , -19.3809                              , -6.5589      ,   1.4127
1.0     , -12.6739                              , -9.9999      ,   0.0000
2.0     , -10.3964                              , -9.9999      ,   0.0000
1.0     , -10.3964                              , -9.9999      ,   0.0000

1.0     , -12.6739                              , -9.9999      ,   0.0000
0.5     , -19.3809                              , -6.5589      ,   1.4127
0.5     , -13.9280                              , -8.4907      ,   1.4631
-1      , 손가락 다 빠진 순간


-1      , 여기서 손촤라라 타이밍
0.3     , -16.9318                              , -6.4958      ,  43.2298
0.2     , 0.0                                   , 0.0          ,   0.0
0.4     , 0.0                                   , 90.00        , 100.00
0.3     , 0.0                                   , 90.00        , 100.00
-1      , 끝
1.8     , 0.0                                   , 90.00        , 100.00
-1      , 손 깍지 끼고 스트레칭 끝 -> ~



3.0     , 2.4                                   , 22.8         ,  62.4

