duration         ,joint_1     ,joint_2 ,joint_3
3.0              ,2.4         ,22.8    ,62.4

# 왼팔 들고 손가락 움직이기

2.0              ,0           ,-10       , 0
0.8              ,0          ,100     ,83.0
0.2             ,0          ,100     ,83.0
2.0             ,0           ,-10       , 0
0.8              ,0          ,100     ,83.0
0.2             ,0          ,100     ,83.0

# 왼손 내리기, ~왼팔 들고 손가락 움직이기 끝~

###########################################################


4.0              ,2.4         ,22.8    ,62.4

