duration               ,joint_1    ,joint_2  ,joint_3
3.0                    ,-1.5       ,36.5     ,   59.0

### 왼손으로 머리 긁적이기
0.5                    ,-1.4416143 ,38.00765 ,   23.2
1.0                    ,-1.4416143 ,38.00765 ,   23.2

0.5                    ,-1.5       ,36.5     ,   59.0
0.5                    ,-1.4416143 ,38.00765 ,   23.2
0.5                    ,-1.5       ,36.5     ,   59.0
0.5                    ,-1.4416143 ,38.00765 ,   23.2
0.5                    ,-1.5       ,36.5     ,   59.0
0.7                   ,-1.4416143 ,38.00765 ,   23.2

0.8                    ,-1.4416143 ,38.00765 ,   23.2

### 왼손으로 머리 긁적이기 끝 ###

### 허리 앞뒤로 움직이기
0.5                    ,0          ,90       ,  100
5.0                    ,0          ,90       ,  100
### 허리 앞뒤로 움직이기 끝 ###

1.5                   ,-1.5       ,0    ,   0.0
1.5                   ,-1.5       ,0    ,   0.0


2.0                    ,-1.5       ,36.5     ,   59.0

