duration ,joint_1      ,joint_2   ,joint_3    ,joint_4    ,joint_5   ,joint_6    ,joint_7
     3.0 ,-0.17        ,4.74      ,-16.65     ,-19.12     ,-90.46    ,-2.29      ,0.11

        3 ,-0.13933899  ,4.7463527 ,-16.675531 ,-19.125639 ,-90.45922 ,-2.3037093 ,0.099400975
        
        3 ,-0.14119957  ,4.7463646 ,-16.677828 ,-19.124115 ,-90.46063 ,-2.3038232 ,0.09851705
        
        1 ,-0.094545804 ,4.745972  ,-16.690918 ,-19.120703 ,-90.45882 ,-2.3079605 ,0.09477389
        1 ,-0.094545804 ,4.745972  ,-16.690918 ,-19.120703 ,-90.45882 ,-2.3079605 ,0.09477389

     3.0 ,-0.17        ,4.74      ,-16.65     ,-19.12     ,-90.46    ,-2.29      ,0.11
