duration ,joint_1    ,joint_2    ,joint_3    ,joint_4    ,joint_5   ,joint_6    ,joint_7
3.0      ,-0.17      ,-4.74      ,16.65      ,-19.12     , 90.46    ,2.29       ,0.11

-1       ,생각 시작
       1  ,-18.902424 ,-10.081267 ,38.046413  ,-137.917   ,113.50028 ,-48.994545 ,15.7689495
       2  ,-18.902424 ,-10.081267 ,38.046413  ,-137.917   ,113.50028 ,-48.994545 ,15.7689495

       1.0  ,-20.121891 ,-2.359536  ,44.23249   ,-133.0615  ,121.76372 ,-47.543545 ,16.037745
       2.0  ,-20.121891 ,-2.359536  ,44.23249   ,-133.0615  ,121.76372 ,-47.543545 ,16.037745
       
       0.7  ,-12.599999 ,-4.9999995 , 3.1000001 ,-145.99998 , 99.99999 ,-13.978136 ,-10.181173
       1.3  ,-12.599999 ,-4.9999995 , 3.1000001 ,-145.99998 , 99.99999 ,-13.978136 ,-10.181173


3.0      ,-0.17      ,-4.74      ,16.65      ,-19.12     , 90.46    ,2.29       ,0.11
